molecule,box,D_m2_s,window_ps
459,35,2.7248007108916948e-11,949.5
460,35,9.504606022190394e-12,1349.5
461,35,5.954621648350602e-12,449.5
462,35,1.1863094728680755e-11,549.5
465,35,1.597596827254787e-11,1649.5
466,35,1.3961285749926856e-11,874.5
467,35,9.41536049735242e-12,1649.5
468,35,9.720237247207512e-12,1274.5
469,35,8.153536089040705e-12,1749.5
473,35,3.272289910840888e-09,1949.5
474,35,1.1422408319112018e-09,1949.5
475,35,1.9147561086171984e-09,1949.5
476,35,2.134525759642644e-09,1949.5
477,35,2.3054334206773355e-09,1949.5
478,35,7.84787101273852e-10,1949.5
479,35,1.4435868731823854e-11,674.5
480,35,1.473078712383825e-11,1399.5
481,35,9.541355257315838e-12,1449.5
482,35,1.475866833705393e-11,1199.5
483,35,3.475318448160289e-12,1174.5
484,35,3.1265938430062703e-09,1949.5
485,35,3.439446977227117e-09,1949.5
486,35,3.0145230089318517e-11,1574.5
487,35,1.5407732179472162e-09,1949.5
488,35,1.1708372221507024e-09,1949.5
489,35,4.1855091773513014e-10,1949.5
490,35,5.131124383764956e-10,1949.5
491,35,2.5431280604368165e-10,1949.5
492,35,1.341843458103573e-10,1949.5
493,35,3.4875762120536917e-11,1949.5
494,35,1.8756361024233495e-11,1774.5
495,35,9.892565496858155e-12,1049.5
496,35,1.6024382820260948e-10,1949.5
497,35,1.2359163197282466e-10,1949.5
498,35,5.5097762222199114e-11,1774.5
499,35,2.983328992240001e-11,1924.5
500,35,1.0605960190174148e-11,1374.5
501,35,1.0341664196680102e-09,1949.5
502,35,1.2735820363726991e-09,1949.5
503,35,8.214458236631492e-10,1949.5
504,35,1.8602892523680528e-11,1949.5
505,35,2.0428100085040167e-12,824.5
506,35,1.818023031352949e-09,1949.5
507,35,1.2897873267408915e-09,1949.5
508,35,9.156528792876441e-10,1949.5
509,35,1.7699693871072075e-10,1949.5
510,35,1.0274863773224939e-10,1924.5
511,35,5.709194763103717e-11,1924.5
512,35,1.791565152468932e-10,1949.5
513,35,7.32217674670596e-10,1949.5
514,35,1.300965946263474e-09,1949.5
516,35,1.3186903726806582e-11,1199.5
517,35,4.307511357640933e-12,1124.5
518,35,2.2144208118802404e-12,1474.5
519,35,1.14502167586525e-12,1599.5
520,35,2.0269988723601273e-12,574.5
521,35,4.531603408992119e-10,1949.5
522,35,3.6724169539715285e-10,1949.5
523,35,2.313348515156884e-10,1949.5
524,35,2.7561966649610165e-10,1949.5
525,35,2.274606621142433e-09,1949.5
531,35,1.0853523920237107e-10,1774.5
532,35,9.193676141567443e-10,1949.5
533,35,5.467466529965633e-10,1949.5
534,35,4.3642795755736514e-10,1949.5
535,35,1.0266469523762194e-09,1949.5
536,35,3.6892732725301687e-10,1949.5
537,35,1.654899380710284e-10,1949.5
538,35,1.0677383628933204e-10,1949.5
549,35,9.783642130586667e-11,1949.5
550,35,4.6227227869462465e-12,649.5
551,35,8.237438379826796e-11,1924.5
552,35,2.659479062664743e-10,1949.5
553,35,2.4055437163069046e-11,1849.5
554,35,7.582571854786753e-10,1949.5
555,35,2.1855210267171475e-10,1949.5
556,35,4.158256979882311e-09,1949.5
557,35,5.527651404573145e-10,1949.5
558,35,2.0206358594512576e-10,1949.5
559,35,1.0357369068648898e-09,1949.5
560,35,5.028407250243282e-10,1949.5
561,35,4.4499825605892885e-10,1949.5
562,35,1.2557968356331272e-09,1949.5
563,35,3.604665608263596e-12,1374.5
564,35,7.141952072201316e-12,1474.5
566,35,2.0527649491441003e-09,1949.5
567,35,8.724245682719652e-10,1949.5
568,35,4.892331148054521e-09,1949.5
569,35,9.692773089170855e-10,1949.5
570,35,7.243578509556788e-10,1949.5
571,35,4.4763322941081336e-10,1949.5
572,35,1.8707103919354216e-10,1949.5
573,35,1.4927811193935822e-09,1949.5
574,35,2.609235179409881e-09,1949.5
575,35,8.278431624770777e-10,1949.5
576,35,1.1687192389365994e-10,1374.5
577,35,3.0182121793589145e-10,1924.5
578,35,3.7851468103779784e-11,1674.5
580,35,7.804066640631401e-12,1574.5
