Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
1-Hexanol,CCCCCCO,-1.56,-5.12,2,303.15,Human Skin,Static/Stirred/Flow,Saline solution/Phosphate buffer/Isotonic aqueous solution,CCCCCCO
1-Hexanol,CCCCCCO,-1.66,-5.22,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,CCCCCCO
1-Hexyl-2-Pyrrolidone,CCCCCCN1CCCC1=O,-1.65,-5.21,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CCCCCCN1CCCC1=O
1-Methoxy-2-Propanol,COCC(C)O,-2.84,-6.4,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,COCC(C)O
1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,-1.58,-5.14,41,,Human Epidermis,Side-By-Side Diffusion Cell,PBS,Oc1cccc2ccccc12
1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,-1.55,-5.11,50,305.15,Human Abdominal Skin,Static,PBS,Oc1cccc2ccccc12
1-Octyl-2-Azacycloheptanone,CCCCCCCCN1CCCCCC1=O,-1.28,-4.84,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CCCCCCCCN1CCCCCC1=O
1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,-1.27,-4.83,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CCCCCCCCN1CCCC1=O
"1,1-Dichloropropanone",CC(=O)C(Cl)Cl,-1.36,-4.92,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CC(=O)C(Cl)Cl
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.35,-5.91,2,303.15,Human Skin,Static/Stirred/Flow,Saline solution/Phosphate buffer/Isotonic aqueous solution,CC(Cl)(Cl)Cl
"1,1,1-Trichloropropanone",CC(=O)C(Cl)(Cl)Cl,-1.62,-5.18,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CC(=O)C(Cl)(Cl)Cl
"1,2-Dichloroethane",C(CCl)Cl,-0.58,-4.14,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,ClCCCl
"1,2-Dichloropropene",C/C(=C/Cl)/Cl,-2,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,Phosphate-buffered saline,C/C(Cl)=C/Cl
"1,2,4-Benzenetriol",C1=CC(=C(C=C1O)O)O,-3.9,-7.46,30,310.15,"Abdominoplasty, Abdomen",Franz Cell,PBS,Oc1ccc(O)c(O)c1
"1,4-Phenylenediamine",C1=CC(=CC=C1N)N,-0.11,-3.67,15,305.15,Abdominal Human Skin,Flow,Phosphate-buffered saline,Nc1ccc(N)cc1
